,Conditions,Datestamp,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (HKT),Visibility,Wind Dir,Wind Speed,Mlabels
0,[Scattered Clouds],1996-7-1,[25.0 °C],[],[-],[36.0 °C],[74%],[N/A],[1008 hPa],[30.0 °C],[8:00 AM],[10.0 km],[SSW],"[14.8 km/h
		/ 4.1 m/s]",METAR VHHH 010000Z 20008KT 160V240 9999 FEW012 SCT020 30/25 Q1008 TEMPO 4000 SHRA
0,[Scattered Clouds],1996-7-1,[26.0 °C],[],[-],[37.4 °C],[79%],[N/A],[1009 hPa],[30.0 °C],[9:00 AM],[10.0 km],[South],"[22.2 km/h
		/ 6.2 m/s]",METAR VHHH 010100Z 18012KT 140V240 9999 FEW014 SCT020 30/26 Q1009 TEMPO 4000 SHRA
0,[Scattered Clouds],1996-7-1,[26.0 °C],[],[-],[37.4 °C],[79%],[N/A],[1009 hPa],[30.0 °C],[10:00 AM],[10.0 km],[South],"[24.1 km/h
		/ 6.7 m/s]",METAR VHHH 010200Z 18013KT 110V220 9999 FEW013 SCT020 30/26 Q1009 WS LDG RWY 13 TEMPO 4000 SHRA
0,[Scattered Clouds],1996-7-1,[26.0 °C],[],[-],[37.4 °C],[79%],[N/A],[1008 hPa],[30.0 °C],[11:00 AM],[10.0 km],[SSW],"[25.9 km/h
		/ 7.2 m/s]",METAR VHHH 010300Z 20014KT 130V260 9999 FEW014 SCT022 30/26 Q1008 WS LDG RWY 13 TEMPO 4000 SHRA
0,[Scattered Clouds],1996-7-1,[26.0 °C],[],"[42.6 km/h
		/ 11.8 m/s]",[37.4 °C],[79%],[N/A],[1008 hPa],[30.0 °C],[12:00 PM],[10.0 km],[South],"[22.2 km/h
		/ 6.2 m/s]",METAR VHHH 010400Z 18012G23KT 120V260 9999 FEW014 SCT022 30/26 Q1008 WS LDG RWY 13 TEMPO 4000 SHRA
0,[Scattered Clouds],1996-7-1,[26.0 °C],[],[-],[39.2 °C],[75%],[N/A],[1008 hPa],[31.0 °C],[2:00 PM],[10.0 km],[North],[-],METAR VHHH 010600Z 19010G20 KT 150V260 9999 FEW014 SCT020 31/26 Q1008 WS LDG RWY 13 NOSIG
0,[Scattered Clouds],1996-7-1,[26.0 °C],[],[-],[37.4 °C],[79%],[N/A],[1007 hPa],[30.0 °C],[3:00 PM],[10.0 km],[South],"[24.1 km/h
		/ 6.7 m/s]",METAR VHHH 010700Z 18013KT 140V240 9999 FEW016 SCT022 30/26 Q1007 WS LDG RWY 13 TEMPO 4000 SHRA
0,[Scattered Clouds],1996-7-1,[26.0 °C],[],[-],[37.4 °C],[79%],[N/A],[1007 hPa],[30.0 °C],[4:00 PM],[10.0 km],[South],"[22.2 km/h
		/ 6.2 m/s]",METAR VHHH 010800Z 18012KT 110V300 9999 FEW016 SCT022 30/26 Q1007 WS LDG RWY 13 TEMPO 4000 SHRA
0,[Scattered Clouds],1996-7-1,[26.0 °C],[],[-],[37.4 °C],[79%],[N/A],[1007 hPa],[30.0 °C],[5:00 PM],[10.0 km],[South],"[22.2 km/h
		/ 6.2 m/s]",METAR VHHH 010900Z 19012KT 130V230 9999 FEW016 SCT022 30/26 Q1007 WS LDG RWY 13 TEMPO 4000 SHRA
0,[Mostly Cloudy],1996-7-1,[26.0 °C],[],[-],[37.4 °C],[79%],[N/A],[1007 hPa],[30.0 °C],[6:00 PM],[10.0 km],[South],"[18.5 km/h
		/ 5.1 m/s]",METAR VHHH 011000Z 19010KT 140V250 9999 FEW015 SCT020 BKN300 30/26 Q1007 WS LDG RWY 13 TEMPO 4000 SHRA
