,Conditions,Datestamp,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (HKT),Visibility,Wind Dir,Wind Speed,Windchill,Mlabels
0,[Partly Cloudy],2012-1-1,[13.0 °C],[],[-],,[77%],[N/A],[1023 hPa],[17.0 °C],[12:00 AM],[9.0 km],[East],"[13.0 km/h
		/ 3.6 m/s]",,METAR VHHH 311600Z 10007KT 9000 FEW040 17/13 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[13.0 °C],[],[-],,[77%],[N/A],[1023 hPa],[17.0 °C],[12:30 AM],[9.0 km],[ENE],"[13.0 km/h
		/ 3.6 m/s]",,METAR VHHH 311630Z 07007KT 9000 FEW040 17/13 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[13.0 °C],[],[-],,[77%],[N/A],[1023 hPa],[17.0 °C],[1:00 AM],[9.0 km],[ENE],"[11.1 km/h
		/ 3.1 m/s]",,METAR VHHH 311700Z 06006KT 9000 FEW025 17/13 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[12.0 °C],[],[-],,[72%],[N/A],[1023 hPa],[17.0 °C],[1:30 AM],[9.0 km],[ENE],"[11.1 km/h
		/ 3.1 m/s]",,METAR VHHH 311730Z 06006KT 9000 FEW025 17/12 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[13.0 °C],[],[-],,[77%],[N/A],[1023 hPa],[17.0 °C],[2:00 AM],[10.0 km],[East],"[9.3 km/h
		/ 2.6 m/s]",,METAR VHHH 311800Z 08005KT 9999 FEW025 17/13 Q1023 NOSIG
0,[Scattered Clouds],2012-1-1,[13.0 °C],[],[-],,[77%],[N/A],[1023 hPa],[17.0 °C],[2:30 AM],[9.0 km],[NE],"[13.0 km/h
		/ 3.6 m/s]",,METAR VHHH 311830Z 04007KT 9000 FEW018 SCT030 17/13 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[12.0 °C],[],[-],,[72%],[N/A],[1023 hPa],[17.0 °C],[3:00 AM],[8.0 km],[NE],"[11.1 km/h
		/ 3.1 m/s]",,METAR VHHH 311900Z 04006KT 340V060 8000 FEW022 17/12 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[11.0 °C],[],[-],,[68%],[N/A],[1023 hPa],[17.0 °C],[3:30 AM],[8.0 km],[NNE],"[9.3 km/h
		/ 2.6 m/s]",,METAR VHHH 311930Z 02005KT 350V060 8000 FEW022 17/11 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[11.0 °C],[],[-],,[68%],[N/A],[1023 hPa],[17.0 °C],[4:00 AM],[8.0 km],[NE],"[14.8 km/h
		/ 4.1 m/s]",,METAR VHHH 312000Z 05008KT 8000 FEW022 17/11 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[11.0 °C],[],[-],,[68%],[N/A],[1023 hPa],[17.0 °C],[4:30 AM],[9.0 km],[NE],"[18.5 km/h
		/ 5.1 m/s]",,METAR VHHH 312030Z 05010KT 9000 FEW022 17/11 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[63%],[N/A],[1022 hPa],[17.0 °C],[5:00 AM],[9.0 km],[ENE],"[18.5 km/h
		/ 5.1 m/s]",,METAR VHHH 312100Z 06010KT 9000 FEW022 17/10 Q1022 NOSIG
0,[Partly Cloudy],2012-1-1,[11.0 °C],[],[-],,[68%],[N/A],[1022 hPa],[17.0 °C],[5:30 AM],[9.0 km],[ENE],"[18.5 km/h
		/ 5.1 m/s]",,METAR VHHH 312130Z 06010KT 9000 FEW025 17/11 Q1022 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[68%],[N/A],[1023 hPa],[16.0 °C],[6:00 AM],[9.0 km],[ENE],"[18.5 km/h
		/ 5.1 m/s]",,METAR VHHH 312200Z 06010KT 9000 FEW025 16/10 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[68%],[N/A],[1023 hPa],[16.0 °C],[6:30 AM],[9.0 km],[ENE],"[11.1 km/h
		/ 3.1 m/s]",,METAR VHHH 312230Z 07006KT 9000 FEW025 16/10 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[68%],[N/A],[1023 hPa],[16.0 °C],[7:00 AM],[7.0 km],[ENE],"[11.1 km/h
		/ 3.1 m/s]",,METAR VHHH 312300Z 07006KT 7000 FEW030 16/10 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[68%],[N/A],[1023 hPa],[16.0 °C],[7:30 AM],[6.0 km],[NE],"[13.0 km/h
		/ 3.6 m/s]",,METAR VHHH 312330Z 05007KT 6000 FEW030 16/10 Q1023 NOSIG
0,[Scattered Clouds],2012-1-1,[10 °C],[],[-],,[60%],[-],[1024 hPa],[16 °C],[8:00 AM],[6 km],[East],"[7.2 km/h
		/]",,AAXX 01001 45007 12556 30802 10157 20098 30232 40241 53012 60002 81531 333 20150 59013 70000 81622
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[68%],[N/A],[1024 hPa],[16.0 °C],[8:00 AM],[7.0 km],[East],"[7.4 km/h
		/ 2.1 m/s]",,METAR VHHH 010000Z 08004KT 050V110 7000 FEW022 16/10 Q1024 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[68%],[N/A],[1024 hPa],[16.0 °C],[8:30 AM],[7.0 km],[East],"[7.4 km/h
		/ 2.1 m/s]",,METAR VHHH 010030Z 09004KT 7000 FEW025 16/10 Q1024 NOSIG
0,[Unknown],2012-1-1,[9.0 °C],[],[-],,[59%],[N/A],[1024 hPa],[17.0 °C],[9:00 AM],[7.0 km],[ENE],"[9.3 km/h
		/ 2.6 m/s]",,METAR VHHH 010100Z 07005KT 7000 NSC 17/09 Q1024 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[59%],[N/A],[1024 hPa],[18.0 °C],[9:30 AM],[7.0 km],[ENE],"[13.0 km/h
		/ 3.6 m/s]",,METAR VHHH 010130Z 07007KT 7000 FEW030 18/10 Q1024 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[63%],[N/A],[1024 hPa],[17.0 °C],[10:00 AM],[7.0 km],[ENE],"[9.3 km/h
		/ 2.6 m/s]",,METAR VHHH 010200Z 06005KT 7000 FEW030 17/10 Q1024 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[63%],[N/A],[1024 hPa],[17.0 °C],[10:30 AM],[7.0 km],[ENE],"[7.4 km/h
		/ 2.1 m/s]",,METAR VHHH 010230Z 06004KT 7000 FEW035 17/10 Q1024 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[59%],[N/A],[1023 hPa],[18.0 °C],[11:00 AM],[7.0 km],[Variable],"[5.6 km/h
		/ 1.5 m/s]",,METAR VHHH 010300Z VRB03KT 7000 FEW035 18/10 Q1023 BECMG 30010KT
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[59%],[N/A],[1023 hPa],[18.0 °C],[11:30 AM],[7.0 km],[North],"[11.1 km/h
		/ 3.1 m/s]",,METAR VHHH 010330Z 35006KT 320V030 7000 FEW035 18/10 Q1023 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[56%],[N/A],[1022 hPa],[19.0 °C],[12:00 PM],[7.0 km],[NNW],"[16.7 km/h
		/ 4.6 m/s]",,METAR VHHH 010400Z 33009KT 7000 FEW035 19/10 Q1022 NOSIG
0,[Partly Cloudy],2012-1-1,[10.0 °C],[],[-],,[56%],[N/A],[1022 hPa],[19.0 °C],[12:30 PM],[6.0 km],[NW],"[14.8 km/h
		/ 4.1 m/s]",,METAR VHHH 010430Z 31008KT 6000 FEW035 19/10 Q1022 NOSIG
