Date,max_temp,min-temp,grass_temp,max_humid,min_humid,rainfall,sunshine,UV,
2000-04-01,27.0,21.6,20.9,96,71,1.5,2.8,8.8,
﻿2000-04-02,22.7,20.7,19.9,98,86,47.9,0,3.0,
﻿2000-04-03,24.8,20.8,20.1,98,89,124.2,0,4.3,
﻿2000-04-04,21.8,20.2,20.1,98,85,0.3,0,1.3,
﻿2000-04-05,23.6,19.7,18.4,95,67,2.3,1.3,4.7,
﻿2000-04-06,20.7,19.2,17.1,90,68,TRACE,0.1,4.6,
﻿2000-04-07,21.8,19.1,18.4,85,73,TRACE,0.4,5.0,
﻿2000-04-08,21.5,20.5,19.2,89,80,TRACE,0,3.3,
﻿2000-04-09,24.4,19.9,19.1,90,75,TRACE,4.4,7.6,
﻿2000-04-10,26.0,21.8,19.6,95,75,0.3,0.6,3.6,
﻿2000-04-11,22.3,20.7,19.1,87,71,TRACE,2.7,4.8,
﻿2000-04-12,24.2,20.1,19.0,89,74,0.8,1.7,9.1,
﻿2000-04-13,23.9,22.3,20.9,97,89,16.8,0,5.1,
﻿2000-04-14,26.3,21.7,22.0,96,83,60.8,0,5.2,
﻿2000-04-15,24.9,20.7,19.8,96,61,2.1,3.3,10.2,
﻿2000-04-16,24.6,19.0,16.5,76,42,0,10.0,10.1,
﻿2000-04-17,24.3,20.0,17.3,82,61,0,7.6,10.8,
﻿2000-04-18,25.4,21.2,19.3,89,71,0,7.5,12.2,
﻿2000-04-19,28.2,22.8,21.7,92,75,TRACE,6.7,12.1,
﻿2000-04-20,28.8,24.7,22.3,89,67,0,10.0,12.6,
﻿2000-04-21,26.8,24.9,22.9,94,84,0.7,0.3,6.8,
﻿2000-04-22,28.8,24.2,22.6,96,71,16.5,5.9,11.2,
﻿2000-04-23,25.8,22.7,22.4,98,95,172.5,0,5.9,
﻿2000-04-24,22.8,21.9,21.6,96,90,1.0,0,5.4,
﻿2000-04-25,30.2,22.4,21.8,95,73,0.1,5.8,10.6,
﻿2000-04-26,29.8,23.8,25.3,95,79,33.3,0.4,6.9,
﻿2000-04-27,25.9,21.0,21.8,95,79,1.9,0.9,5.1,
﻿2000-04-28,21.9,19.9,19.3,97,87,54.2,0,3.1,
﻿2000-04-29,24.6,20.9,19.3,97,92,9.9,0.3,7.5,
﻿2000-04-30,29.1,23.3,22.0,97,79,0.6,4.8,12.1,
﻿2000-05-01,30.6,25.8,24.8,95,75,10.0,7.9,12.9,
﻿2000-05-02,27.5,23.9,23.0,98,87,69.1,0,2.7,
﻿2000-05-03,24.3,20.6,21.9,95,78,5.1,0.1,8.4,
﻿2000-05-04,25.3,20.9,20.2,92,66,0,4.3,9.8,
﻿2000-05-05,27.8,22.3,20.7,89,70,0,6.8,8.8,
﻿2000-05-06,29.1,23.4,21.9,91,69,0,10.0,8.4,
﻿2000-05-07,27.5,24.5,23.0,89,71,0,6.8,10.2,
﻿2000-05-08,25.7,23.6,22.6,85,76,0,1.9,6.8,
﻿2000-05-09,26.9,23.4,22.5,89,73,0,3.8,10.5,
﻿2000-05-10,24.9,22.4,22.9,97,91,50.7,0,1.0,
﻿2000-05-11,26.9,22.8,21.6,92,69,0.6,3.5,11.9,
﻿2000-05-12,27.4,23.9,22.7,90,71,TRACE,3.1,8.1,
﻿2000-05-13,29.6,24.2,22.4,89,63,0,6.2,11.0,
﻿2000-05-14,28.1,25.2,23.7,87,72,0,3.5,8.7,
﻿2000-05-15,30.3,25.7,24.0,86,67,0,9.5,12.9,
﻿2000-05-16,31.6,25.7,23.6,86,57,0,11.7,10.2,
﻿2000-05-17,29.3,25.7,24.0,88,70,TRACE,6.1,8.6,
﻿2000-05-18,28.4,24.8,23.2,90,70,0.3,5.0,9.1,
﻿2000-05-19,25.8,21.8,21.6,88,75,1.3,0,4.2,
﻿2000-05-20,27.6,22.6,20.6,80,43,TRACE,0.9,8.7,
﻿2000-05-21,26.6,24.8,22.7,73,45,0,0.1,5.7,
﻿2000-05-22,28.5,24.3,22.9,81,59,TRACE,4.1,11.5,
﻿2000-05-23,28.0,24.5,23.4,83,68,0,1.3,8.3,
﻿2000-05-24,26.0,24.3,24.2,97,82,29.4,0,5.8,
﻿2000-05-25,30.1,24.9,23.8,98,74,36.9,5.1,12.1,
﻿2000-05-26,30.2,27.2,25.6,86,76,TRACE,3.6,9.5,
﻿2000-05-27,31.1,27.8,25.5,87,74,0.6,4.2,10.3,
﻿2000-05-28,31.3,27.7,25.7,87,71,TRACE,4.2,9.1,
﻿2000-05-29,31.2,26.9,25.5,94,69,4.3,9.4,4.9,
﻿2000-05-30,31.2,27.5,25.7,88,73,TRACE,11.3,6.6,
﻿2000-05-31,32.4,27.6,25.7,87,62,TRACE,11.8,5.8,
﻿2000-06-01,32.1,28.0,25.9,84,66,TRACE,7.6,5.0,
﻿2000-06-02,32.3,28.0,25.9,85,66,TRACE,11.1,6.2,
﻿2000-06-03,32.2,27.7,25.5,85,63,0,10.7,5.2,
﻿2000-06-04,32.8,27.2,25.5,86,61,0,12.3,6.2,
﻿2000-06-05,34.2,28.3,26.4,83,60,0,12.1,5.7,
﻿2000-06-06,32.7,28.5,26.6,82,64,0,9.8,6.0,
﻿2000-06-07,32.5,27.7,26.0,86,64,1.3,10.2,6.0,
﻿2000-06-08,31.8,27.0,26.0,87,69,3.9,7.5,5.3,
﻿2000-06-09,30.5,26.5,24.6,87,75,9.8,0.1,3.1,
﻿2000-06-10,32.4,28.9,27.4,82,67,TRACE,7.5,5.9,
﻿2000-06-11,31.5,28.9,27.3,81,72,0.2,5.4,5.0,
﻿2000-06-12,29.5,21.8,27.3,81,72,0.2,5.4,5.0,
﻿2000-06-13,23.2,21.8,20.7,89,68,0.4,0,1.5,
﻿2000-06-14,27.6,22.3,20.5,77,57,TRACE,3.4,5.0,
﻿2000-06-15,29.5,24.2,22.8,78,48,0,5.6,5.4,
﻿2000-06-16,30.7,24.2,22.3,85,60,0,10.8,3.8,
﻿2000-06-17,27.2,24.8,24.5,97,76,57.2,1.4,1.0,
﻿2000-06-18,26.7,24.9,24.4,98,91,168.1,0,1.3,
﻿2000-06-19,29.6,24.7,24.1,96,69,1.7,3.8,4.3,
﻿2000-06-20,28.0,24.6,24.1,97,84,31.4,0,1.8,
﻿2000-06-21,30.9,25.9,25.2,87,72,2.6,5.7,4.6,
﻿2000-06-22,31.1,27.7,25.3,84,69,TRACE,7.8,4.8,
﻿2000-06-23,29.7,25.5,24.1,90,74,22.8,0.5,1.9,
﻿2000-06-24,31.6,27.6,25.3,83,69,0.1,9.7,5.6,
﻿2000-06-25,31.8,26.1,25.2,89,68,3.4,8.8,5.2,
﻿2000-06-26,32.0,27.3,25.4,89,64,0.2,11.6,5.9,
﻿2000-06-27,32.0,27.7,25.8,87,64,0,10.0,5.8,
﻿2000-06-28,32.3,27.5,25.5,85,62,0,10.0,4.8,
﻿2000-06-29,33.0,27.7,25.8,87,61,0,12.1,6.0,
﻿2000-06-30,33.5,27.9,25.8,82,59,0,11.6,5.9,
﻿2000-07-01,33.1,27.9,26.0,83,55,0,11.4,6.8,
﻿2000-07-02,31.7,26.2,26.1,92,75,14.8,7.1,5.2,
﻿2000-07-03,31.4,25.1,24.0,94,70,15.1,8.3,5.5,
﻿2000-07-04,33.0,27.6,25.7,80,56,0,9.7,5.0,
﻿2000-07-05,30.5,27.3,26.0,85,70,0.2,2.9,2.8,
﻿2000-07-06,30.3,26.8,25.5,87,71,0.2,0,2.4,
﻿2000-07-07,29.9,26.3,25.6,95,76,14.7,2.7,1.9,
﻿2000-07-08,30.9,27.3,25.9,86,66,5.8,3.6,2.6,
﻿2000-07-09,32.2,26.7,26.2,87,61,TRACE,7.0,4.4,
﻿2000-07-10,32.0,26.7,25.9,95,67,11.6,11.0,5.5,
﻿2000-07-11,29.9,26.3,25.6,94,80,15.7,5.6,3.9,
﻿2000-07-12,30.9,26.6,26.0,93,72,21.3,7.1,5.5,
﻿2000-07-12,30.9,26.6,26.0,93,72,21.3,7.1,5.5,
﻿2000-07-14,31.9,27.7,26.3,89,68,0.3,10.6,5.8,
﻿2000-07-15,31.9,27.8,26.3,90,62,2.1,9.8,5.4,
﻿2000-07-16,30.3,25.5,26.1,96,73,34.9,8.2,4.9,
﻿2000-07-17,28.7,25.6,24.9,96,75,53.8,0,1.5,
﻿2000-07-18,28.4,24.5,25.3,93,79,50.7,0,0.8,
﻿2000-07-19,28.9,25.7,25.6,94,80,13.8,0,1.0,
﻿2000-07-20,28.3,25.1,24.5,95,81,10.3,0,1.6,
﻿2000-07-21,28.6,25.5,25.5,96,87,33.6,0.2,1.7,
﻿2000-07-22,31.4,26.4,25.0,93,63,0.6,10.0,4.9,
﻿2000-07-23,31.9,26.5,25.0,90,61,0,11.7,6.7,
﻿2000-07-24,32.6,27.2,25.8,87,54,0,12.1,6.5,
﻿2000-07-25,32.6,28.0,26.3,82,62,TRACE,11.9,6.2,
﻿2000-07-26,32.7,28.4,26.8,83,64,0,11.9,6.3,
﻿2000-07-27,32.1,28.8,26.9,81,71,0,9.8,5.5,
﻿2000-07-28,33.2,28.8,26.9,82,64,0,11.5,6.2,
﻿2000-07-29,33.0,28.5,26.8,82,66,0,9.6,6.2,
﻿2000-07-30,32.6,28.7,27.1,83,67,TRACE,10.5,5.4,
﻿2000-07-31,32.1,26.3,27.5,93,71,4.5,6.6,4.9,
﻿2000-08-01,27.8,24.3,23.6,97,80,70.0,0,1.4,
﻿2000-08-02,27.7,24.7,24.2,97,80,31.6,0,1.8,
﻿2000-08-03,28.2,24.3,23.9,98,85,88.7,0,1.0,
﻿2000-08-04,26.4,24.5,24.6,97,89,77.8,0,0.7,
﻿2000-08-05,27.9,24.6,24.6,94,83,6.4,0.4,1.9,
﻿2000-08-06,29.9,24.1,23.9,97,70,26.6,5.7,4.8,
﻿2000-08-07,30.5,25.9,24.7,93,69,TRACE,8.7,5.1,
﻿2000-08-08,31.4,26.7,25.1,88,66,0,6.8,3.0,
﻿2000-08-09,32.1,26.8,25.0,89,65,0,11.9,6.1,
﻿2000-08-10,32.8,27.6,26.0,87,62,0,11.0,5.5,
﻿2000-08-11,33.3,28.4,26.8,86,68,0,10.9,5.2,
﻿2000-08-12,32.7,28.4,26.8,85,64,TRACE,10.3,6.0,
﻿2000-08-13,32.4,28.6,26.9,82,67,0,7.7,5.4,
﻿2000-08-14,33.2,28.6,26.7,89,65,0.3,7.6,5.5,
﻿2000-08-15,31.1,28.0,26.9,87,73,3.5,6.0,3.7,
﻿2000-08-16,31.3,26.2,25.1,92,66,8.2,3.6,3.2,
﻿2000-08-17,32.1,28.1,26.3,84,59,0,9.8,4.7,
﻿2000-08-18,32.1,28.0,26.2,88,70,TRACE,6.7,3.5,
﻿2000-08-19,32.7,27.3,25.8,89,64,0,11.7,5.8,
﻿2000-08-20,32.7,28.2,26.4,87,64,0,11.3,6.3,
﻿2000-08-21,31.9,27.5,26.1,94,64,3.6,11.6,5.9,
﻿2000-08-22,32.3,28.2,26.2,82,59,0,10.8,5.6,
﻿2000-08-23,31.4,26.2,26.9,87,65,5.9,1.5,2.4,
﻿2000-08-24,29.3,24.9,24.1,98,78,153.2,0,0.7,
﻿2000-08-25,29.9,25.8,26.0,93,74,25.4,1.0,2.9,
﻿2000-08-26,28.7,25.7,24.7,97,86,54.0,0,0.4,
﻿2000-08-27,28.4,24.3,24.6,96,85,24.3,0,0.9,
﻿2000-08-28,30.0,26.3,24.9,91,71,TRACE,2.9,3.1,
﻿2000-08-29,33.0,26.8,24.5,79,57,0.5,9.5,5.1,
﻿2000-08-30,32.3,28.1,25.8,82,64,0,5.7,3.9,
﻿2000-08-31,30.8,26.9,26.0,92,71,20.7,2.3,2.9,
﻿2000-09-01,30.3,24.6,24.7,96,79,50.8,0,1.4,
﻿2000-09-02,29.2,24.7,25.0,97,83,93.9,0,1.2,
﻿2000-09-03,29.2,26.6,25.3,94,79,0.3,7.8,4.5,
﻿2000-09-04,31.2,26.5,25.1,92,68,0,10.2,5.7,
﻿2000-09-05,32.2,26.9,25.3,85,65,0,5.9,3.1,
﻿2000-09-06,30.9,27.0,24.7,84,68,TRACE,9.5,4.3,
﻿2000-09-07,30.8,27.1,24.3,78,52,TRACE,6.4,3.8,
﻿2000-09-08,28.6,25.0,23.8,83,65,1.7,1.7,2.5,
﻿2000-09-09,29.1,25.6,23.6,83,66,0.8,7.6,4.6,
﻿2000-09-10,29.9,24.8,22.8,76,59,0,8.9,3.9,
﻿2000-09-11,30.4,25.1,22.8,71,55,0,7.9,3.7,
﻿2000-09-12,30.3,25.0,22.5,64,51,0,11.2,4.7,
﻿2000-09-13,30.5,24.8,22.0,59,40,0,10.7,4.5,
﻿2000-09-14,30.7,23.9,21.1,49,32,0,10.7,4.5,
﻿2000-09-15,30.1,25.0,22.5,51,34,0,10.7,4.6,
﻿2000-09-16,29.9,24.8,21.9,78,42,0,10.1,4.1,
﻿2000-09-17,29.6,25.9,23.4,82,63,0,4.8,2.8,
﻿2000-09-18,29.3,25.8,24.0,82,64,TRACE,7.0,4.0,
﻿2000-09-19,28.9,25.8,23.9,77,58,0,7.4,3.9,
﻿2000-09-20,27.2,23.9,23.9,93,68,4.5,0.7,2.1,
﻿2000-09-21,29.0,25.7,24.0,84,68,0.6,7.1,3.8,
﻿2000-09-22,29.6,26.0,24.1,85,67,0,8.4,4.5,
﻿2000-09-23,30.2,26.4,24.6,88,67,0,7.9,4.5,
﻿2000-09-24,29.3,26.1,24.2,86,70,0,4.2,4.0,
﻿2000-09-25,30.0,26.3,24.5,89,66,TRACE,7.6,4.2,
﻿2000-09-26,29.9,26.6,24.5,83,67,0,7.7,4.2,
﻿2000-09-27,29.9,26.6,24.5,83,67,0,7.7,4.2,
﻿2000-09-28,29.7,26.8,25.1,84,74,0,8.9,4.1,
﻿2000-09-29,30.9,26.8,25.2,88,69,TRACE,8.2,4.4,
﻿2000-09-30,30.6,26.7,24.9,88,65,0,9.3,3.9,
﻿2000-10-01,30.5,26.6,24.5,86,62,0,8.4,4.2,
﻿2000-10-02,31.2,26.6,24.4,84,52,0,8.3,3.5,
﻿2000-10-03,31.0,26.6,24.4,83,58,0,9.7,4.2,
﻿2000-10-04,30.0,26.8,24.9,83,65,TRACE,5.5,2.9,
﻿2000-10-05,29.3,25.8,24.2,95,76,4.7,7.9,3.7,
﻿2000-10-06,29.4,26.1,24.7,92,75,1.0,6.7,3.7,
﻿2000-10-07,30.0,26.0,24.6,94,69,0.8,6.2,3.4,
﻿2000-10-08,29.7,25.4,24.1,93,72,4.0,9.3,4.0,
﻿2000-10-09,29.4,26.9,24.7,82,64,TRACE,9.4,3.8,
﻿2000-10-10,30.0,26.2,24.0,78,59,TRACE,9.9,4.5,
﻿2000-10-11,30.1,26.9,25.4,88,68,0.6,5.7,3.6,
﻿2000-10-12,29.0,25.4,25.1,87,65,3.9,0.2,1.9,
﻿2000-10-13,26.8,22.1,21.4,89,66,5.0,0,1.0,
﻿2000-10-14,23.6,21.2,20.3,91,77,4.9,0,1.0,
﻿2000-10-15,24.9,22.3,20.6,82,71,TRACE,0,2.2,
﻿2000-10-16,27.0,22.1,20.5,80,61,0.1,6.5,3.4,
﻿2000-10-17,28.0,22.6,20.6,82,57,TRACE,6.7,3.5,
﻿2000-10-18,26.2,23.1,21.9,83,73,TRACE,0.2,1.3,
﻿2000-10-19,25.4,22.1,21.2,95,79,17.8,0,0.8,
﻿2000-10-20,25.0,23.6,23.1,97,88,116.0,0,0.4,
﻿2000-10-21,25.4,23.6,22.9,97,89,27.6,0,0.5,
﻿2000-10-22,28.3,24.7,23.3,97,84,10.7,5.4,2.6,
﻿2000-10-23,28.3,25.5,24.7,97,81,5.1,6.4,3.5,
﻿2000-10-24,30.2,25.5,23.8,93,69,TRACE,9.1,2.9,
﻿2000-10-25,29.1,25.0,23.7,89,66,1.9,7.2,3.3,
﻿2000-10-26,27.7,25.6,23.8,86,74,0,5.1,2.4,
﻿2000-10-27,26.7,24.8,23.6,82,75,0,5.8,2.6,
﻿2000-10-28,26.3,24.1,23.2,83,68,0,0.7,1.9,
﻿2000-10-29,25.2,20.5,20.2,74,56,0,9.2,3.7,
﻿2000-10-30,23.3,18.7,16.9,63,43,0,9.0,3.4,
﻿2000-10-31,23.9,18.9,16.9,60,45,0,7.7,3.1,
﻿2000-11-01,23.3,18.6,16.7,54,39,0,10.2,3.2,
﻿2000-11-02,23.7,16.9,14.3,56,44,0,10.1,3.0,
﻿2000-11-03,23.7,16.9,14.3,56,44,0,10.1,3.0,
﻿2000-11-04,23.3,20.9,18.9,66,50,TRACE,0,1.4,
﻿2000-11-05,25.8,21.4,18.6,85,58,0,3.2,2.7,
﻿2000-11-06,25.0,22.8,20.6,87,68,0.1,0,1.1,
﻿2000-11-07,24.1,22.2,20.7,96,79,23.5,0,0.4,
﻿2000-11-08,24.8,23.3,22.6,95,86,3.1,0.3,0.8,
﻿2000-11-09,23.9,22.1,21.2,87,79,TRACE,1.4,1.8,
﻿2000-11-10,25.7,22.2,20.4,89,69,0.4,7.7,2.7,
﻿2000-11-11,23.6,17.2,19.2,94,74,13.7,0.1,1.6,
﻿2000-11-12,17.5,14.9,14.4,97,83,44.1,0,1.0,
﻿2000-11-13,20.6,15.1,14.1,86,73,TRACE,2.2,2.4,
﻿2000-11-14,24.3,19.5,17.2,87,62,0,8.7,2.9,
﻿2000-11-15,26.5,22.0,19.9,90,67,0,7.1,2.8,
﻿2000-11-16,23.2,19.3,18.5,95,71,9.6,2.4,2.1,
﻿2000-11-17,20.7,18.5,18.0,76,67,TRACE,0,1.5,
﻿2000-11-18,21.2,18.3,18.1,80,72,TRACE,0.9,1.8,
﻿2000-11-19,22.5,19.9,19.3,84,73,TRACE,0,1.4,
﻿2000-11-20,21.5,14.7,17.0,88,52,TRACE,4.6,2.7,
﻿2000-11-21,17.7,14.1,13.3,61,53,0,0.4,1.8,
﻿2000-11-22,19.9,14.7,12.9,71,58,0,10.1,2.6,
﻿2000-11-23,21.6,17.6,15.2,81,67,0,9.9,2.7,
﻿2000-11-24,22.1,19.9,18.5,85,70,0,1.5,2.1,
﻿2000-11-25,23.6,20.5,19.6,85,70,0,7.0,2.7,
﻿2000-11-26,24.3,20.5,19.5,92,71,2.3,2.5,1.9,
﻿2000-11-27,24.3,21.4,20.0,89,76,0,5.3,2.4,
﻿2000-11-28,22.4,20.5,20.5,83,76,0,0.7,1.3,
﻿2000-11-29,22.2,19.9,18.8,84,69,0,6.1,2.5,
﻿2000-11-30,22.9,19.7,17.8,87,72,0,9.3,2.8,
﻿2000-12-01,25.4,20.2,18.3,87,63,0,7.5,1.9,
﻿2000-12-02,22.9,19.4,19.1,93,70,0.5,6.5,2.2,
﻿2000-12-03,21.0,17.2,16.1,75,58,0,4.1,1.8,
﻿2000-12-04,19.7,16.3,14.8,72,67,0,0,1.1,
﻿2000-12-05,21.8,17.7,15.8,80,63,0,9.6,2.4,
﻿2000-12-06,21.5,18.8,17.1,88,70,0,8.5,2.3,
﻿2000-12-07,22.4,19.5,17.6,88,67,0,7.6,2.3,
﻿2000-12-08,21.6,19.4,17.6,87,72,0,8.6,2.3,
﻿2000-12-09,21.6,19.1,16.7,87,63,0,9.1,2.5,
﻿2000-12-10,24.2,19.7,17.8,85,57,0,6.5,2.4,
﻿2000-12-11,21.6,17.8,18.4,91,71,1.7,0.2,1.0,
﻿2000-12-12,17.9,13.9,15.6,96,91,25.8,0,0.7,
﻿2000-12-13,14.2,11.3,11.1,96,84,24.8,0,1.0,
﻿2000-12-14,18.6,13.1,12.1,84,62,0,7.0,2.2,
﻿2000-12-15,20.0,16.3,14.5,82,68,TRACE,1.1,1.7,
﻿2000-12-16,22.6,18.6,17.9,84,67,0,4.7,1.9,
﻿2000-12-17,23.9,19.7,17.8,88,61,0,5.1,2.2,
﻿2000-12-18,22.9,19.8,18.8,91,76,TRACE,0.7,1.6,
﻿2000-12-19,22.1,19.5,19.0,93,79,2.4,0,1.0,
﻿2000-12-20,23.1,17.3,18.5,96,71,0.6,0.3,1.0,
﻿2000-12-21,17.9,13.9,14.0,72,62,0,2.4,1.5,
