Date,max_temp,min_temp,grass_temp,max_humid,min_humid,rainfall,sunshine,UV
2000/4/1,27,21.6,20.9,96,71,1.5,2.8,8.8
2000/4/2,22.7,20.7,19.9,98,86,47.9,0,3
2000/4/3,24.8,20.8,20.1,98,89,124.2,0,4.3
2000/4/4,21.8,20.2,20.1,98,85,0.3,0,1.3
2000/4/5,23.6,19.7,18.4,95,67,2.3,1.3,4.7
2000/4/6,20.7,19.2,17.1,90,68,TRACE,0.1,4.6
2000/4/7,21.8,19.1,18.4,85,73,TRACE,0.4,5
2000/4/8,21.5,20.5,19.2,89,80,TRACE,0,3.3
2000/4/9,24.4,19.9,19.1,90,75,TRACE,4.4,7.6
2000/4/10,26,21.8,19.6,95,75,0.3,0.6,3.6
2000/4/11,22.3,20.7,19.1,87,71,TRACE,2.7,4.8
2000/4/12,24.2,20.1,19,89,74,0.8,1.7,9.1
2000/4/13,23.9,22.3,20.9,97,89,16.8,0,5.1
2000/4/14,26.3,21.7,22,96,83,60.8,0,5.2
2000/4/15,24.9,20.7,19.8,96,61,2.1,3.3,10.2
2000/4/16,24.6,19,16.5,76,42,0,10,10.1
2000/4/17,24.3,20,17.3,82,61,0,7.6,10.8
2000/4/18,25.4,21.2,19.3,89,71,0,7.5,12.2
2000/4/19,28.2,22.8,21.7,92,75,TRACE,6.7,12.1
2000/4/20,28.8,24.7,22.3,89,67,0,10,12.6
2000/4/21,26.8,24.9,22.9,94,84,0.7,0.3,6.8
2000/4/22,28.8,24.2,22.6,96,71,16.5,5.9,11.2
2000/4/23,25.8,22.7,22.4,98,95,172.5,0,5.9
2000/4/24,22.8,21.9,21.6,96,90,1,0,5.4
2000/4/25,30.2,22.4,21.8,95,73,0.1,5.8,10.6
2000/4/26,29.8,23.8,25.3,95,79,33.3,0.4,6.9
2000/4/27,25.9,21,21.8,95,79,1.9,0.9,5.1
2000/4/28,21.9,19.9,19.3,97,87,54.2,0,3.1
2000/4/29,24.6,20.9,19.3,97,92,9.9,0.3,7.5
2000/4/30,29.1,23.3,22,97,79,0.6,4.8,12.1
2000/5/1,30.6,25.8,24.8,95,75,10,7.9,12.9
2000/5/2,27.5,23.9,23,98,87,69.1,0,2.7
2000/5/3,24.3,20.6,21.9,95,78,5.1,0.1,8.4
2000/5/4,25.3,20.9,20.2,92,66,0,4.3,9.8
2000/5/5,27.8,22.3,20.7,89,70,0,6.8,8.8
2000/5/6,29.1,23.4,21.9,91,69,0,10,8.4
2000/5/7,27.5,24.5,23,89,71,0,6.8,10.2
2000/5/8,25.7,23.6,22.6,85,76,0,1.9,6.8
2000/5/9,26.9,23.4,22.5,89,73,0,3.8,10.5
2000/5/10,24.9,22.4,22.9,97,91,50.7,0,1
2000/5/11,26.9,22.8,21.6,92,69,0.6,3.5,11.9
2000/5/12,27.4,23.9,22.7,90,71,TRACE,3.1,8.1
2000/5/13,29.6,24.2,22.4,89,63,0,6.2,11
2000/5/14,28.1,25.2,23.7,87,72,0,3.5,8.7
2000/5/15,30.3,25.7,24,86,67,0,9.5,12.9
2000/5/16,31.6,25.7,23.6,86,57,0,11.7,10.2
2000/5/17,29.3,25.7,24,88,70,TRACE,6.1,8.6
2000/5/18,28.4,24.8,23.2,90,70,0.3,5,9.1
2000/5/19,25.8,21.8,21.6,88,75,1.3,0,4.2
2000/5/20,27.6,22.6,20.6,80,43,TRACE,0.9,8.7
2000/5/21,26.6,24.8,22.7,73,45,0,0.1,5.7
2000/5/22,28.5,24.3,22.9,81,59,TRACE,4.1,11.5
2000/5/23,28,24.5,23.4,83,68,0,1.3,8.3
2000/5/24,26,24.3,24.2,97,82,29.4,0,5.8
2000/5/25,30.1,24.9,23.8,98,74,36.9,5.1,12.1
2000/5/26,30.2,27.2,25.6,86,76,TRACE,3.6,9.5
2000/5/27,31.1,27.8,25.5,87,74,0.6,4.2,10.3
2000/5/28,31.3,27.7,25.7,87,71,TRACE,4.2,9.1
2000/5/29,31.2,26.9,25.5,94,69,4.3,9.4,4.9
2000/5/30,31.2,27.5,25.7,88,73,TRACE,11.3,6.6
2000/5/31,32.4,27.6,25.7,87,62,TRACE,11.8,5.8
2000/6/1,32.1,28,25.9,84,66,TRACE,7.6,5
2000/6/2,32.3,28,25.9,85,66,TRACE,11.1,6.2
2000/6/3,32.2,27.7,25.5,85,63,0,10.7,5.2
2000/6/4,32.8,27.2,25.5,86,61,0,12.3,6.2
2000/6/5,34.2,28.3,26.4,83,60,0,12.1,5.7
2000/6/6,32.7,28.5,26.6,82,64,0,9.8,6
2000/6/7,32.5,27.7,26,86,64,1.3,10.2,6
2000/6/8,31.8,27,26,87,69,3.9,7.5,5.3
2000/6/9,30.5,26.5,24.6,87,75,9.8,0.1,3.1
2000/6/10,32.4,28.9,27.4,82,67,TRACE,7.5,5.9
2000/6/11,31.5,28.9,27.3,81,72,0.2,5.4,5
2000/6/12,29.5,21.8,27.3,81,72,0.2,5.4,5
2000/6/13,23.2,21.8,20.7,89,68,0.4,0,1.5
2000/6/14,27.6,22.3,20.5,77,57,TRACE,3.4,5
2000/6/15,29.5,24.2,22.8,78,48,0,5.6,5.4
2000/6/16,30.7,24.2,22.3,85,60,0,10.8,3.8
2000/6/17,27.2,24.8,24.5,97,76,57.2,1.4,1
2000/6/18,26.7,24.9,24.4,98,91,168.1,0,1.3
2000/6/19,29.6,24.7,24.1,96,69,1.7,3.8,4.3
2000/6/20,28,24.6,24.1,97,84,31.4,0,1.8
2000/6/21,30.9,25.9,25.2,87,72,2.6,5.7,4.6
2000/6/22,31.1,27.7,25.3,84,69,TRACE,7.8,4.8
2000/6/23,29.7,25.5,24.1,90,74,22.8,0.5,1.9
2000/6/24,31.6,27.6,25.3,83,69,0.1,9.7,5.6
2000/6/25,31.8,26.1,25.2,89,68,3.4,8.8,5.2
2000/6/26,32,27.3,25.4,89,64,0.2,11.6,5.9
2000/6/27,32,27.7,25.8,87,64,0,10,5.8
2000/6/28,32.3,27.5,25.5,85,62,0,10,4.8
2000/6/29,33,27.7,25.8,87,61,0,12.1,6
2000/6/30,33.5,27.9,25.8,82,59,0,11.6,5.9
2000/7/1,33.1,27.9,26,83,55,0,11.4,6.8
2000/7/2,31.7,26.2,26.1,92,75,14.8,7.1,5.2
2000/7/3,31.4,25.1,24,94,70,15.1,8.3,5.5
2000/7/4,33,27.6,25.7,80,56,0,9.7,5
2000/7/5,30.5,27.3,26,85,70,0.2,2.9,2.8
2000/7/6,30.3,26.8,25.5,87,71,0.2,0,2.4
2000/7/7,29.9,26.3,25.6,95,76,14.7,2.7,1.9
2000/7/8,30.9,27.3,25.9,86,66,5.8,3.6,2.6
2000/7/9,32.2,26.7,26.2,87,61,TRACE,7,4.4
2000/7/10,32,26.7,25.9,95,67,11.6,11,5.5
2000/7/11,29.9,26.3,25.6,94,80,15.7,5.6,3.9
2000/7/12,30.9,26.6,26,93,72,21.3,7.1,5.5
2000/7/13,30.9,26.6,26,93,72,21.3,7.1,5.5
2000/7/14,31.9,27.7,26.3,89,68,0.3,10.6,5.8
2000/7/15,31.9,27.8,26.3,90,62,2.1,9.8,5.4
2000/7/16,30.3,25.5,26.1,96,73,34.9,8.2,4.9
2000/7/17,28.7,25.6,24.9,96,75,53.8,0,1.5
2000/7/18,28.4,24.5,25.3,93,79,50.7,0,0.8
2000/7/19,28.9,25.7,25.6,94,80,13.8,0,1
2000/7/20,28.3,25.1,24.5,95,81,10.3,0,1.6
2000/7/21,28.6,25.5,25.5,96,87,33.6,0.2,1.7
2000/7/22,31.4,26.4,25,93,63,0.6,10,4.9
2000/7/23,31.9,26.5,25,90,61,0,11.7,6.7
2000/7/24,32.6,27.2,25.8,87,54,0,12.1,6.5
2000/7/25,32.6,28,26.3,82,62,TRACE,11.9,6.2
2000/7/26,32.7,28.4,26.8,83,64,0,11.9,6.3
2000/7/27,32.1,28.8,26.9,81,71,0,9.8,5.5
2000/7/28,33.2,28.8,26.9,82,64,0,11.5,6.2
2000/7/29,33,28.5,26.8,82,66,0,9.6,6.2
2000/7/30,32.6,28.7,27.1,83,67,TRACE,10.5,5.4
2000/7/31,32.1,26.3,27.5,93,71,4.5,6.6,4.9
2000/8/1,27.8,24.3,23.6,97,80,70,0,1.4
2000/8/2,27.7,24.7,24.2,97,80,31.6,0,1.8
2000/8/3,28.2,24.3,23.9,98,85,88.7,0,1
2000/8/4,26.4,24.5,24.6,97,89,77.8,0,0.7
2000/8/5,27.9,24.6,24.6,94,83,6.4,0.4,1.9
2000/8/6,29.9,24.1,23.9,97,70,26.6,5.7,4.8
2000/8/7,30.5,25.9,24.7,93,69,TRACE,8.7,5.1
2000/8/8,31.4,26.7,25.1,88,66,0,6.8,3
2000/8/9,32.1,26.8,25,89,65,0,11.9,6.1
