,Conditions,Datestamp,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (HKT),Visibility,Wind Dir,Wind Speed,Mlabels
0,[Clear],1997-1-1,[16.0 °C],[],[-],,[88%],[N/A],[1018 hPa],[18.0 °C],[12:00 AM],[9.0 km],[ESE],"[9.3 km/h
		/ 2.6 m/s]",METAR VHHH 311600Z 12005KT 9000 SKC 18/16 Q1018 NOSIG
0,[Clear],1997-1-1,[16.0 °C],[],[-],,[88%],[N/A],[1018 hPa],[18.0 °C],[1:00 AM],[9.0 km],[SE],"[13.0 km/h
		/ 3.6 m/s]",METAR VHHH 311700Z 13007KT 9000 SKC 18/16 Q1018 NOSIG
0,[Clear],1997-1-1,[16.0 °C],[],[-],,[94%],[N/A],[1018 hPa],[17.0 °C],[2:00 AM],[9.0 km],[SE],"[13.0 km/h
		/ 3.6 m/s]",METAR VHHH 311800Z 14007KT 9000 SKC 17/16 Q1018 NOSIG
0,[Clear],1997-1-1,[16.0 °C],[],[-],,[94%],[N/A],[1018 hPa],[17.0 °C],[3:00 AM],[9.0 km],[SE],"[9.3 km/h
		/ 2.6 m/s]",METAR VHHH 311900Z 14005KT 9000 SKC 17/16 Q1018 NOSIG
0,[Clear],1997-1-1,[15.0 °C],[],[-],,[94%],[N/A],[1018 hPa],[16.0 °C],[4:00 AM],[9.0 km],[SSE],"[9.3 km/h
		/ 2.6 m/s]",METAR VHHH 312000Z 15005KT 9000 SKC 16/15 Q1018 NOSIG
0,[Partly Cloudy],1997-1-1,[15.0 °C],[],[-],,[94%],[N/A],[1018 hPa],[16.0 °C],[5:00 AM],[9.0 km],[SE],"[9.3 km/h
		/ 2.6 m/s]",METAR VHHH 312100Z 14005KT 9000 FEW100 16/15 Q1018 NOSIG
0,[Clear],1997-1-1,[15.0 °C],[],[-],,[88%],[N/A],[1018 hPa],[17.0 °C],[6:00 AM],[-],[SSE],"[14.8 km/h
		/ 4.1 m/s]",METAR VHHH 312200 15008KT CAVOK 17/15 Q1018 NOSIG
0,[Clear],1997-1-1,[15.0 °C],[],[-],,[94%],[N/A],[1019 hPa],[16.0 °C],[7:00 AM],[9.0 km],[ESE],"[7.4 km/h
		/ 2.1 m/s]",METAR VHHH 312300Z 12004KT 9000 SKC 16/15 Q1019 NOSIG
0,[Clear],1997-1-1,[15.0 °C],[],[-],,[83%],[N/A],[1020 hPa],[18.0 °C],[8:00 AM],[8.0 km],[SSE],"[7.4 km/h
		/ 2.1 m/s]",METAR VHHH 010000Z 15004KT 8000 SKC 18/15 Q1020 NOSIG
0,[Clear],1997-1-1,[12.0 °C],[],[-],,[60%],[N/A],[1020 hPa],[20.0 °C],[9:00 AM],[8.0 km],[SE],"[9.3 km/h
		/ 2.6 m/s]",METAR VHHH 010100Z 14005KT 8000 SKC 20/12 Q1020 NOSIG
0,[Clear],1997-1-1,[12.0 °C],[],[-],,[53%],[N/A],[1020 hPa],[22.0 °C],[10:00 AM],[8.0 km],[SE],"[16.7 km/h
		/ 4.6 m/s]",METAR VHHH 010200Z 14009KT 8000 SKC 22/12 Q1020 NOSIG
0,[Clear],1997-1-1,[-],[],[-],,[N/A%],[N/A],[1019 hPa],[-],[11:00 AM],[8.0 km],[SSE],"[13.0 km/h
		/ 3.6 m/s]",METAR VHHH 010300Z 15007KT 120V180 8000 SKC Q1019 NOSIG
0,[Clear],1997-1-1,[13.0 °C],[],[-],,[50%],[N/A],[1018 hPa],[24.0 °C],[12:00 PM],[8.0 km],[SE],"[9.3 km/h
		/ 2.6 m/s]",METAR VHHH 010400Z 13005KT 8000 SKC 24/13 Q1018 NOSIG
0,[Clear],1997-1-1,[11.0 °C],[],[-],,[44%],[N/A],[1018 hPa],[24.0 °C],[1:00 PM],[8.0 km],[SE],"[18.5 km/h
		/ 5.1 m/s]",METAR VHHH 010500Z 13010KT 090V200 8000 SKC 24/11 Q1018 NOSIG
0,[Clear],1997-1-1,[11.0 °C],[],[-],,[41%],[N/A],[1017 hPa],[25.0 °C],[2:00 PM],[9.0 km],[SE],"[11.1 km/h
		/ 3.1 m/s]",METAR VHHH 010600Z 14006KT 120V210 9000 SKC 25/11 Q1017 NOSIG
0,[Clear],1997-1-1,[14.0 °C],[],[-],,[53%],[N/A],[1017 hPa],[24.0 °C],[3:00 PM],[9.0 km],[SW],"[7.4 km/h
		/ 2.1 m/s]",METAR VHHH 010700Z 22004KT 120V300 9000 SKC 24/14 Q1017 NOSIG
0,[Clear],1997-1-1,[14.0 °C],[],[-],,[64%],[N/A],[1017 hPa],[21.0 °C],[6:00 PM],[8.0 km],[WNW],"[9.3 km/h
		/ 2.6 m/s]",METAR VHHH 011000Z 30005KT 8000 SKC 21/14 Q1017 NOSIG
0,[Clear],1997-1-1,[14.0 °C],[],[-],,[64%],[N/A],[1018 hPa],[21.0 °C],[7:00 PM],[8.0 km],[WSW],"[5.6 km/h
		/ 1.5 m/s]",METAR VHHH 011100Z 25003KT 8000 SKC 21/14 Q1018 NOSIG
