,Conditions,Datestamp,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (HKT),Visibility,Wind Dir,Wind Speed,Windchill,Mlabels
0,[Clear],2005-1-1,[-11.0 °C],[],[-],,[25%],[N/A],[1029 hPa],[8.0 °C],[12:00 AM],[-],[NE],"[31.5 km/h
		/ 8.7 m/s]",[3.9 °C],METAR VHHH 311600Z 04017KT CAVOK 08/M11 Q1029 NOSIG
0,[Clear],2005-1-1,[-11.0 °C],[],[-],,[27%],[N/A],[1029 hPa],[7.0 °C],[12:30 AM],[-],[NE],"[20.4 km/h
		/ 5.7 m/s]",[3.6 °C],METAR VHHH 311630Z 04011KT 010V070 CAVOK 07/M11 Q1029 NOSIG
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[29%],[N/A],[1029 hPa],[7.0 °C],[1:00 AM],[-],[NE],"[25.9 km/h
		/ 7.2 m/s]",[3.0 °C],METAR VHHH 311700Z 04014KT CAVOK 07/M10 Q1029 NOSIG
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[29%],[N/A],[1029 hPa],[7.0 °C],[1:30 AM],[-],[NNE],"[20.4 km/h
		/ 5.7 m/s]",[3.6 °C],METAR VHHH 311730Z 03011KT CAVOK 07/M10 Q1029 NOSIG
0,[Clear],2005-1-1,[-10 °C],[],[-],,[18%],[-],[1029 hPa],[7 °C],[2:00 AM],[14 km],[NE],"[18.0 km/h
		/]",[-],AAXX 31181 45007 12964 10405 10066 21098 30281 40291 58015 60001 80001 333 58018 81080
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[29%],[N/A],[1029 hPa],[7.0 °C],[2:00 AM],[-],[NE],"[18.5 km/h
		/ 5.1 m/s]",[3.8 °C],METAR VHHH 311800Z 04010KT CAVOK 07/M10 Q1029 NOSIG
0,[Clear],2005-1-1,[-9.0 °C],[],[-],,[34%],[N/A],[1028 hPa],[6.0 °C],[2:30 AM],[-],[NE],"[22.2 km/h
		/ 6.2 m/s]",[2.1 °C],METAR VHHH 311830Z 04012KT CAVOK 06/M09 Q1028 NOSIG
0,[Clear],2005-1-1,[-9.0 °C],[],[-],,[34%],[N/A],[1028 hPa],[6.0 °C],[3:00 AM],[-],[NE],"[25.9 km/h
		/ 7.2 m/s]",[1.7 °C],METAR VHHH 311900Z 04014KT CAVOK 06/M09 Q1028 NOSIG
0,[Clear],2005-1-1,[-8.0 °C],[],[-],,[36%],[N/A],[1028 hPa],[6.0 °C],[3:30 AM],[-],[NE],"[22.2 km/h
		/ 6.2 m/s]",[2.1 °C],METAR VHHH 311930Z 04012KT 360V060 CAVOK 06/M08 Q1028 NOSIG
0,[Clear],2005-1-1,[-9.0 °C],[],[-],,[34%],[N/A],[1028 hPa],[6.0 °C],[4:00 AM],[-],[NE],"[20.4 km/h
		/ 5.7 m/s]",[2.3 °C],METAR VHHH 312000Z 04011KT CAVOK 06/M09 Q1028 NOSIG
0,[Clear],2005-1-1,[-9.0 °C],[],[-],,[34%],[N/A],[1028 hPa],[6.0 °C],[4:30 AM],[-],[NNE],"[20.4 km/h
		/ 5.7 m/s]",[2.3 °C],METAR VHHH 312030Z 03011KT 350V060 CAVOK 06/M09 Q1028 NOSIG
0,[Clear],2005-1-1,[-9.0 °C],[],[-],,[34%],[N/A],[1029 hPa],[6.0 °C],[5:00 AM],[-],[NE],"[22.2 km/h
		/ 6.2 m/s]",[2.1 °C],METAR VHHH 312100Z 04012KT 010V070 CAVOK 06/M09 Q1029 NOSIG
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[33%],[N/A],[1029 hPa],[5.0 °C],[5:30 AM],[-],[NE],"[24.1 km/h
		/ 6.7 m/s]",[0.6 °C],METAR VHHH 312130Z 04013KT CAVOK 05/M10 Q1029 NOSIG
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[33%],[N/A],[1029 hPa],[5.0 °C],[6:00 AM],[-],[NNE],"[25.9 km/h
		/ 7.2 m/s]",[0.4 °C],METAR VHHH 312200Z 03014KT CAVOK 05/M10 Q1029 NOSIG
0,[Clear],2005-1-1,[-11.0 °C],[],[-],,[31%],[N/A],[1029 hPa],[5.0 °C],[6:30 AM],[-],[NE],"[25.9 km/h
		/ 7.2 m/s]",[0.4 °C],METAR VHHH 312230Z 04014KT CAVOK 05/M11 Q1029 NOSIG
0,[Clear],2005-1-1,[-11.0 °C],[],[-],,[31%],[N/A],[1029 hPa],[5.0 °C],[7:00 AM],[-],[NE],"[24.1 km/h
		/ 6.7 m/s]",[0.6 °C],METAR VHHH 312300Z 04013KT 010V080 CAVOK 05/M11 Q1029 NOSIG
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[33%],[N/A],[1029 hPa],[5.0 °C],[7:30 AM],[-],[NE],"[24.1 km/h
		/ 6.7 m/s]",[0.6 °C],METAR VHHH 312330Z 05013KT CAVOK 05/M10 Q1029 NOSIG
0,[Clear],2005-1-1,[-10 °C],[],[-],,[20%],[-],[1030 hPa],[5 °C],[8:00 AM],[16 km],[NNE],"[25.2 km/h
		/]",[-],AAXX 01001 45007 12966 10307 10051 21102 30289 40299 51008 60002 80001 333 20047 58006 70000 81080
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[33%],[N/A],[1029 hPa],[5.0 °C],[8:00 AM],[-],[NNE],"[24.1 km/h
		/ 6.7 m/s]",[0.6 °C],METAR VHHH 010000Z 03013KT 360V070 CAVOK 05/M10 Q1029 NOSIG
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[33%],[N/A],[1030 hPa],[5.0 °C],[8:30 AM],[-],[NNE],"[24.1 km/h
		/ 6.7 m/s]",[0.6 °C],METAR VHHH 010030Z 03013KT CAVOK 05/M10 Q1030 NOSIG
0,[Clear],2005-1-1,[-10.0 °C],[],[-],,[31%],[N/A],[1030 hPa],[6.0 °C],[9:00 AM],[-],[NE],"[27.8 km/h
		/ 7.7 m/s]",[1.6 °C],METAR VHHH 010100Z 04015KT CAVOK 06/M10 Q1030 NOSIG
0,[Clear],2005-1-1,[-11.0 °C],[],[-],,[27%],[N/A],[1030 hPa],[7.0 °C],[9:30 AM],[-],[NNE],"[16.7 km/h
		/ 4.6 m/s]",[4.0 °C],METAR VHHH 010130Z 03009KT 330V070 CAVOK 07/M11 Q1030 NOSIG
