Age,Male,Female
0,27691,25644
1,29725,27002
2,27256,25461
3,27605,26273
4,32546,30267
5,34012,31419
6,30835,28555
7,30149,27616
8,30080,27729
9,26099,25273
10,27579,25609
11,25663,24599
12,25432,25037
13,27203,26304
14,26414,25378
15,31885,29177
16,31438,29237
17,33019,30499
18,37483,35033
19,42682,40454
20,43954,42350
21,44433,44168
22,44099,44480
23,43286,47494
24,44491,46319
25,46564,50794
26,46662,55339
27,48112,58671
28,43780,58119
29,42637,59558
30,45504,65921
31,45960,67015
32,46139,69875
33,48013,72731
34,47371,68703
35,46983,72194
36,46364,72338
37,44933,68298
38,44209,65741
39,45494,64739
40,43376,65118
41,46849,68640
42,48004,68398
43,49568,68881
44,46790,64181
45,47538,69061
46,47613,67524
47,47832,66796
48,48988,63612
49,48316,59757
50,52338,65180
51,57989,70687
52,59448,73040
53,64064,76163
54,58894,65262
55,63427,65133
56,63635,65345
57,61500,63642
58,60347,62530
59,57910,59580
60,55289,56154
61,52265,52723
62,48842,50784
63,44762,46207
64,42968,45285
65,43426,43727
66,43475,44108
67,39179,39459
68,36946,36799
69,33477,35107
70,25363,26072
71,24155,23204
72,23428,22184
73,20639,19281
74,18599,17902
75,20792,19912
76,20793,20571
77,20356,22125
78,20420,21409
79,18862,21134
80,16650,20354
81,15055,18621
82,16065,19564
83,14178,18267
84,12155,16059
85,11464,16233
86,9717,13932
87,7365,12517
88,6503,11583
89,5301,10542
90,4143,8713
91,3324,7588
92,2407,6693
93,2306,5642
94,1665,4641
95,1346,4168
96,1179,3022
97,748,2350
98,503,1782
99,508,1751
100+,534,3111
